url,video_id,commenter_id,commenter_name,comment_text,replies,published_at,Toxic_flag,Toxic_type,lang
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@vasanthgandiboyina356,@vasanthgandiboyina356,చిరంజీవి ఫ్యాన్స్ పవన్ ఫ్యాన్స్ అందరూ కలిసి game changer movie hit cheyandi,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@ShaikAmeerullah-c9m,@ShaikAmeerullah-c9m,బ్లాక్ బస్టర్ మూవీ  రామ్ చరణ్,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@naveenm5372,@naveenm5372,GAME CHANGER Chapter 2 waiting Global fans,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@AZ-jo7bz,@AZ-jo7bz,మరి స్మగ్లింగ్ ని చూపొచ్ఛా,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@tejtrendz,@tejtrendz,ఈ ఫ్లాప్ తో RRR లో మెయిన్ హీరో రామ్ చరణ్ అని తేలిపోయింది. రాజమౌళితో సినిమా తీసిన తర్వాత ఏ హీరో కైనా రెండు మూడు ఫ్లాపులు తప్పవు.,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@nithinsmile357,@nithinsmile357,జై చరణ్ అన్న,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@nagarajuch-em3wh,@nagarajuch-em3wh,Movie bagundhi superb RC ROYAL KING RAMCHARAN always superb person,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@valmikichanel5538,@valmikichanel5538,"I am ram charan fan, but movie very bore",,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@prabhakarkanumarlpudi9923,@prabhakarkanumarlpudi9923,సమాజం బాగు కోసం ఎవడు తీయడంలే గాని 50 రూపాయల సినిమాను 500 పెట్టుకుని చూసే మీరు సమాజం గురించి మాట్లాడటం సిగ్గుండాలి 50 రూపాయల సినిమాను ₹1000 పెట్టుకొని చూడడానికి,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@MrVincentmark,@MrVincentmark,"Super గా చెప్పావ్ అన్నా...
సినిమాల లో మెసేజ్ ఉండటం లేదు....",,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@gurubasava8018,@gurubasava8018,1st person review is 100% true,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@pavanentertynement,@pavanentertynement,"ఒరేయ్ బాబు సినిమా బాగోక పోతే బోలేదని చెప్పండి రా బాబు అంతే గాని శంకర్ కి కొంచెం వాల్యూ ఇవ్వండి రా బాబు రాజమౌలి కంటే ముందే భారత దేశ సినిమా స్థాయిని ఎక్కడికో తీసుకెళ్ళాడు అలాంటి సినిమాలతో,స్టోరీ కూడా శంకర్ థి కాదు కదా అదే పెద్ద వ్రాంగ్ స్టెప్ అనుకుంటున్న నేను ఇప్పుడు టైం బ్యాడ్ అంతే",,3 months ago (edited),,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@someliRaju-g2r,@someliRaju-g2r,మీలాంటి వాళ్ళు ఎంత ప్లాప్ చేయాలని అన్నసినిమా హిట్ అవుతుంది,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@chakrageddada5042,@chakrageddada5042,కరెక్ట్ గా చెప్పారు బ్రదర్,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@abhiramsatya1,@abhiramsatya1,Cinemas nundi entertainment expect cheyyandi.. Society ki messagr lanti vishayalu matladakandi..,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@bunnykrish1305,@bunnykrish1305,Mega fans leputharu ga am parledhu,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@GBhaskar-g149dy,@GBhaskar-g149dy,ఫ్లాప్ మూవీ ఏమి బాగా లేదు ఇప్పుడే చూశాము,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@Login_password1,@Login_password1,Global star to local star,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@basavarajaniluvanji5502,@basavarajaniluvanji5502,Karnataka fans RC Blockbuster movie,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@srikanth__naik,@srikanth__naik,Game Changer  Game Over,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@AGNIVEERUDU,@AGNIVEERUDU,"Not even Graduate, but in cinema IAS officer. At least youth must realise about their future.",,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@pidugujagadeeshanantapur9135,@pidugujagadeeshanantapur9135,"Fast haf bagundi

Second off అట్టర్ ప్లాప్",,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@user-thomas-raju,@user-thomas-raju,బాబాయ్ అబ్బాయిలు రాజకీయాలమీద సినిమాలు తీస్తున్నారు బాబాయ్ కూడా రాజకీయంలోకి వచ్చేస్తారు,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@srinivassatti8884,@srinivassatti8884,Superb ram shankar movie,,3 months ago,,,unknown
